,precision,recall,f1-score,support
alternate picking,1.0,1.0,1.0,27.0
legato,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0
tapping,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0
sweep picking,1.0,1.0,1.0,12.0
vibrato,1.0,1.0,1.0,18.0
hammer on,1.0,0.16666666666666666,0.2857142857142857,18.0
pull off,0.53125,0.9444444444444444,0.68,18.0
slide,0.9473684210526315,1.0,0.972972972972973,18.0
bend,1.0,1.0,1.0,18.0
accuracy,0.8961748633879781,0.8961748633879781,0.8961748633879781,0.8961748633879781
macro avg,0.9298587012402802,0.8888888888888888,0.8697264478396554,183.0
weighted avg,0.9325032711033574,0.8961748633879781,0.8792095163762348,183.0
